instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,1.2s,9.0,10.0,0.0,9.0,9.0,28,7200,1.45
t84_bays29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
at84_ftv55,99.8s,9.0,10.0,0.0,9.0,9.0,773,7200,350.67
t84_bayg29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
at62_ft53,0.2s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,0.2s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,0.1s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv35,1.4s,6.0,6.0,0.0,6.0,6.0,1,7200,1.36
t84_gr96,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_st70,0.2s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t84_ulysses22,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.03
t84_eil76,0.1s,8.0,10.0,25.0,10.0,8.0,113,7200,7242.28
t62_kroD100,0.3s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,0.1s,9.0,9.0,0.0,9.0,9.0,1,7200,0.1
at84_ft70,0.5s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,98.5s,6.0,7.0,0.0,6.0,6.0,298,7200,859.65
at62_ftv38,1.9s,6.0,6.0,0.0,6.0,6.0,1,7200,1.93
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t84_att48,1.2s,8.0,8.0,0.0,8.0,8.0,1,7200,1.21
t84_kroE100,0.2s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,0.0s,1.0,1.0,0.0,1.0,1.0,1,7200,0.0
at62_ftv33,0.3s,7.0,7.0,0.0,7.0,7.0,1,7200,0.35
at62_ftv64,0.2s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,0.2s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,3.4s,9.0,9.0,0.0,9.0,9.0,18,7200,3.43
t84_gr24,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.01
t84_berlin52,0.1s,9.0,9.0,0.0,9.0,9.0,1,7200,618.51
t84_eil51,1.5s,8.0,9.0,0.0,9.0,9.0,5,7200,3.08
at62_ftv44,99.3s,6.0,8.0,0.0,6.0,6.0,189,7200,119.5
at84_ry48p,99.4s,8.0,9.0,0.0,8.0,8.0,2632,7200,3893.76
t62_eil51,0.1s,6.0,7.0,0.0,6.0,6.0,83,7200,756.94
at84_ftv44,1.3s,9.0,9.0,0.0,9.0,9.0,16,7200,1.25
t84_gr48,7.4s,8.0,9.0,0.0,8.0,8.0,32,7200,7.65
at62_ry48p,0.1s,6.0,7.0,0.0,6.0,6.0,265,7200,4325.54
t84_kroD100,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_ulysses22,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.04
t62_att48,0.1s,6.0,8.0,0.0,6.0,6.0,56,7200,1634.55
at84_ftv64,99.0s,10.0,11.0,0.0,10.0,10.0,489,7200,866.29
at84_ftv33,0.0s,9.0,9.0,0.0,9.0,9.0,1,7200,0.04
t62_gr24,0.5s,5.0,5.0,0.0,5.0,5.0,11,7200,0.48
t62_kroB100,0.2s,1.0,8.0,In,8.0,1.0,1,,
t84_kroA100,0.2s,1.0,10.0,In,10.0,1.0,1,,
at62_ftv70,0.2s,1.0,9.0,In,9.0,1.0,1,,
t84_fri26,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
t62_swiss42,13.2s,6.0,6.0,0.0,6.0,6.0,1,7200,13.24
at84_ftv47,0.3s,8.0,8.0,0.0,8.0,8.0,1,7200,0.34
t84_pr76,0.1s,9.0,10.0,0.0,9.0,9.0,356,7200,1705.92
at62_kro124p,0.7s,1.0,7.0,In,7.0,1.0,1,,
t84_dantzig42,0.2s,9.0,9.0,0.0,9.0,9.0,1,7200,0.22
t84_rat99,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_hk48,0.1s,6.0,7.0,0.0,6.0,6.0,17,7200,2613.86
t62_ulysses16,0.0s,4.0,4.0,0.0,4.0,4.0,1,7200,0.01
t62_berlin52,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_rat99,0.4s,1.0,7.0,In,7.0,1.0,1,,
at62_ftv47,21.7s,6.0,6.0,0.0,6.0,6.0,1,7200,21.74
t62_gr48,99.7s,6.0,7.0,0.0,6.0,6.0,218,7200,228.06
t62_fri26,0.3s,6.0,6.0,0.0,6.0,6.0,1,7200,0.25
t62_kroC100,0.3s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv70,94.7s,9.0,10.0,0.0,9.0,9.0,929,7200,2220.82
t62_burma14,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
at84_kro124p,0.4s,1.0,10.0,In,10.0,1.0,1,,
t62_rd100,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_gr96,0.3s,1.0,7.0,In,7.0,1.0,1,,
t84_swiss42,0.5s,9.0,9.0,0.0,9.0,9.0,1,7200,0.47
t84_st70,86.5s,9.0,10.0,11.11,10.0,9.0,1495,7200,7205.21
t62_dantzig42,84.7s,6.0,6.0,0.0,6.0,6.0,140,7200,84.67
t62_kroA100,0.4s,1.0,8.0,In,8.0,1.0,1,,
t84_kroB100,0.2s,1.0,10.0,In,10.0,1.0,1,,
at84_ft53,6.9s,8.0,8.0,0.0,8.0,8.0,1,7200,6.93
t84_burma14,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
at62_ft70,0.6s,1.0,6.0,In,6.0,1.0,1,,
t62_brazil58,0.2s,1.0,6.0,In,6.0,1.0,1,,
at84_br17,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_kroC100,0.2s,9.0,11.0,22.22,11.0,9.0,15,7200,7268.29
t84_gr17,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t84_ulysses16,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_gr21,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t62_bayg29,0.3s,5.0,5.0,0.0,5.0,5.0,1,7200,0.32
t84_rd100,0.2s,1.0,11.0,In,11.0,1.0,1,,
at84_p43,83.1s,2.0,2.0,0.0,2.0,2.0,1,7200,83.09
t62_bays29,0.2s,6.0,6.0,0.0,6.0,6.0,1,7200,0.15
