instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,4.7s,9.0,10.0,0.0,9.0,9.0,4,7200,4.83
t84_bays29,0.1s,8.0,8.0,0.0,8.0,8.0,1,7200,0.13
at84_ftv55,0.5s,9.0,11.0,0.0,9.0,9.0,81,7200,340.81
t84_bayg29,0.1s,8.0,8.0,0.0,8.0,8.0,1,7200,0.09
at62_ft53,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,0.4s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,0.1s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv35,54.5s,6.0,6.0,0.0,6.0,6.0,1,7200,54.47
t84_gr96,0.3s,1.0,10.0,In,10.0,1.0,1,,
t62_st70,0.2s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,0.6s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.05
t84_ulysses22,0.1s,7.0,7.0,0.0,7.0,7.0,1,7200,0.12
t84_eil76,0.3s,1.0,10.0,In,10.0,1.0,1,,
t62_kroD100,0.7s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,0.7s,9.0,10.0,0.0,9.0,9.0,6,7200,0.71
at84_ft70,2.0s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,0.1s,1.0,8.0,In,8.0,1.0,1,,
at62_ftv38,64.8s,6.0,6.0,0.0,6.0,6.0,1,7200,64.78
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t84_att48,0.0s,8.0,9.0,0.0,8.0,8.0,6,7200,404.87
t84_kroE100,0.3s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,0.0s,1.0,1.0,0.0,1.0,1.0,1,7200,0.0
at62_ftv33,9.8s,7.0,8.0,0.0,7.0,7.0,20,7200,9.87
at62_ftv64,0.4s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,0.4s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,92.3s,9.0,9.0,0.0,9.0,9.0,1,7200,92.31
t84_gr24,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.03
t84_berlin52,0.1s,1.0,9.0,In,9.0,1.0,1,,
t84_eil51,0.2s,8.0,9.0,0.0,9.0,9.0,7,7200,2000.08
at62_ftv44,0.1s,1.0,8.0,In,8.0,1.0,1,,
at84_ry48p,0.0s,8.0,9.0,0.0,8.0,8.0,855,7200,2645.56
t62_eil51,0.1s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv44,2.3s,9.0,9.0,0.0,9.0,9.0,1,7200,2.27
t84_gr48,0.0s,8.0,9.0,0.0,8.0,8.0,93,7200,259.9
at62_ry48p,0.1s,1.0,7.0,In,7.0,1.0,1,,
t84_kroD100,0.3s,1.0,10.0,In,10.0,1.0,1,,
t62_ulysses22,4.9s,5.0,5.0,0.0,5.0,5.0,1,7200,4.87
t62_att48,0.1s,1.0,8.0,In,8.0,1.0,1,,
at84_ftv64,0.1s,10.0,11.0,0.0,10.0,10.0,46,7200,2200.84
at84_ftv33,0.4s,9.0,9.0,0.0,9.0,9.0,1,7200,0.41
t62_gr24,2.0s,5.0,5.0,0.0,5.0,5.0,19,7200,1.99
t62_kroB100,0.6s,1.0,8.0,In,8.0,1.0,1,,
t84_kroA100,0.3s,1.0,10.0,In,10.0,1.0,1,,
at62_ftv70,0.5s,1.0,9.0,In,9.0,1.0,1,,
t84_fri26,0.1s,8.0,8.0,0.0,8.0,8.0,1,7200,0.09
t62_swiss42,0.1s,-168.0,7.0,In,7.0,-168.0,1,,
at84_ftv47,3.3s,8.0,9.0,0.0,8.0,8.0,5,7200,6.1
t84_pr76,0.1s,1.0,10.0,In,10.0,1.0,1,,
at62_kro124p,2.2s,1.0,7.0,In,7.0,1.0,1,,
t84_dantzig42,4.8s,9.0,9.0,0.0,9.0,9.0,1,7200,4.81
t84_rat99,0.3s,1.0,10.0,In,10.0,1.0,1,,
t62_hk48,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_ulysses16,0.0s,4.0,4.0,0.0,4.0,4.0,1,7200,0.02
t62_berlin52,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_rat99,0.8s,1.0,7.0,In,7.0,1.0,1,,
at62_ftv47,0.1s,1.0,8.0,In,8.0,1.0,1,,
t62_gr48,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_fri26,3.8s,6.0,6.0,0.0,6.0,6.0,1,7200,3.82
t62_kroC100,0.6s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv70,0.2s,1.0,11.0,In,11.0,1.0,1,,
t62_burma14,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.03
at84_kro124p,1.3s,1.0,10.0,In,10.0,1.0,1,,
t62_rd100,0.6s,1.0,7.0,In,7.0,1.0,1,,
t62_gr96,0.5s,1.0,7.0,In,7.0,1.0,1,,
