instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,4.2s,9.0,9.0,0.0,9.0,9.0,31,7200,4.21
t84_bays29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.03
at84_ftv55,99.7s,9.0,11.0,0.0,9.0,9.0,880,7200,707.92
t84_bayg29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
at62_ft53,0.2s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,0.2s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,0.1s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv35,3.3s,6.0,6.0,0.0,6.0,6.0,1,7200,3.31
t84_gr96,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_st70,0.2s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t84_ulysses22,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.03
t84_eil76,0.2s,8.0,10.0,25.0,10.0,8.0,12,7200,7214.68
t62_kroD100,0.3s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,0.1s,9.0,9.0,0.0,9.0,9.0,1,7200,0.07
at84_ft70,0.5s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,0.1s,6.0,8.0,33.33,8.0,6.0,53,7200,7200.02
at62_ftv38,1.9s,6.0,6.0,0.0,6.0,6.0,1,7200,1.9
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t84_att48,5.2s,8.0,8.0,0.0,8.0,8.0,1,7200,5.2
t84_kroE100,0.2s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,1.1s,1.0,1.0,0.0,1.0,1.0,1,7200,1.13
at62_ftv33,0.5s,7.0,8.0,0.0,7.0,7.0,5,7200,1.46
at62_ftv64,0.2s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,0.2s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,11.8s,9.0,10.0,0.0,9.0,9.0,34,7200,12.97
t84_gr24,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.01
t84_berlin52,0.0s,1.0,9.0,In,9.0,1.0,1,,
t84_eil51,3.0s,8.0,9.0,0.0,9.0,9.0,7,7200,7.41
at62_ftv44,41.4s,6.0,8.0,0.0,6.0,6.0,546,7200,3742.63
at84_ry48p,99.8s,8.0,9.0,0.0,8.0,8.0,536,7200,562.75
t62_eil51,0.1s,6.0,7.0,16.67,7.0,6.0,23,7200,7201.44
at84_ftv44,0.4s,9.0,9.0,0.0,9.0,9.0,1,7200,0.42
t84_gr48,26.7s,8.0,9.0,0.0,8.0,8.0,52,7200,26.97
at62_ry48p,0.1s,6.0,7.0,16.67,7.0,6.0,1,7200,7498.02
t84_kroD100,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_ulysses22,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.05
t62_att48,0.1s,6.0,8.0,33.33,8.0,6.0,3,7200,7219.64
at84_ftv64,12.0s,10.0,10.0,0.0,10.0,10.0,1,7200,12.01
at84_ftv33,0.0s,9.0,9.0,0.0,9.0,9.0,1,7200,0.05
t62_gr24,1.8s,5.0,5.0,0.0,5.0,5.0,15,7200,1.8
t62_kroB100,0.3s,1.0,8.0,In,8.0,1.0,1,,
t84_kroA100,0.2s,1.0,10.0,In,10.0,1.0,1,,
at62_ftv70,0.2s,1.0,9.0,In,9.0,1.0,1,,
t84_fri26,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
t62_swiss42,34.1s,6.0,7.0,0.0,6.0,6.0,18,7200,166.95
at84_ftv47,0.5s,8.0,8.0,0.0,8.0,8.0,1,7200,0.5
t84_pr76,0.1s,9.0,10.0,11.11,10.0,9.0,23,7200,7227.44
at62_kro124p,0.7s,1.0,7.0,In,7.0,1.0,1,,
t84_dantzig42,0.2s,9.0,9.0,0.0,9.0,9.0,1,7200,0.25
t84_rat99,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_hk48,0.1s,6.0,7.0,16.67,7.0,6.0,4,7200,7224.88
t62_ulysses16,0.0s,4.0,4.0,0.0,4.0,4.0,1,7200,0.01
t62_berlin52,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_rat99,0.4s,1.0,7.0,In,7.0,1.0,1,,
at62_ftv47,83.5s,6.0,7.0,0.0,6.0,6.0,11,7200,302.69
t62_gr48,71.3s,6.0,7.0,0.0,6.0,6.0,275,7200,1495.36
t62_fri26,0.3s,6.0,6.0,0.0,6.0,6.0,1,7200,0.3
t62_kroC100,0.3s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv70,0.1s,9.0,11.0,22.22,11.0,9.0,777,7200,7201.12
t62_burma14,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
at84_kro124p,0.4s,1.0,10.0,In,10.0,1.0,1,,
t62_rd100,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_gr96,0.3s,1.0,7.0,In,7.0,1.0,1,,
t84_swiss42,0.4s,9.0,9.0,0.0,9.0,9.0,1,7200,0.45
t84_st70,96.7s,9.0,10.0,0.0,9.0,9.0,138,7200,400.87
t62_dantzig42,4.6s,6.0,7.0,0.0,6.0,6.0,6,7200,13.57
t62_kroA100,0.4s,1.0,8.0,In,8.0,1.0,1,,
t84_kroB100,0.2s,8.0,10.0,25.0,10.0,8.0,1,7200,7395.92
at84_ft53,99.3s,8.0,10.0,0.0,8.0,8.0,366,7200,1245.05
t84_burma14,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
at62_ft70,0.6s,1.0,6.0,In,6.0,1.0,1,,
t62_brazil58,0.2s,1.0,6.0,In,6.0,1.0,1,,
at84_br17,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_kroC100,0.2s,1.0,11.0,In,11.0,1.0,1,,
t84_gr17,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t84_ulysses16,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_gr21,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t62_bayg29,0.3s,5.0,5.0,0.0,5.0,5.0,1,7200,0.34
t84_rd100,0.2s,1.0,11.0,In,11.0,1.0,1,,
at84_p43,80.2s,2.0,2.0,0.0,2.0,2.0,1,7200,80.17
t62_bays29,0.2s,6.0,6.0,0.0,6.0,6.0,1,7200,0.17
