instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,0.6s,9.0,10.0,0.0,9.0,9.0,6,7200,0.69
t84_bays29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.03
at84_ftv55,19.2s,9.0,10.0,0.0,9.0,9.0,54,7200,20.23
t84_bayg29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.03
at62_ft53,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,0.5s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,0.1s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv35,6.3s,6.0,6.0,0.0,6.0,6.0,1,7200,6.29
t84_gr96,0.3s,1.0,10.0,In,10.0,1.0,1,,
t62_st70,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,0.7s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t84_ulysses22,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.03
t84_eil76,0.3s,8.0,10.0,25.0,10.0,8.0,39,7200,7203.34
t62_kroD100,0.8s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,0.1s,9.0,9.0,0.0,9.0,9.0,1,7200,0.12
at84_ft70,1.7s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,0.2s,6.0,8.0,0.0,6.0,6.0,138,7200,2911.46
at62_ftv38,5.9s,6.0,6.0,0.0,6.0,6.0,1,7200,5.93
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t84_att48,4.1s,8.0,8.0,0.0,8.0,8.0,1,7200,4.06
t84_kroE100,0.4s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,0.0s,1.0,1.0,0.0,1.0,1.0,1,7200,0.0
at62_ftv33,0.8s,7.0,7.0,0.0,7.0,7.0,1,7200,0.8
at62_ftv64,0.4s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,0.5s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,3.6s,9.0,9.0,0.0,9.0,9.0,1,7200,3.56
t84_gr24,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.02
t84_berlin52,0.1s,1.0,9.0,In,9.0,1.0,1,,
t84_eil51,5.0s,8.0,9.0,0.0,9.0,9.0,5,7200,12.64
at62_ftv44,84.3s,6.0,8.0,0.0,6.0,6.0,1490,7200,3361.71
at84_ry48p,99.8s,8.0,9.0,0.0,8.0,8.0,272,7200,245.42
t62_eil51,0.1s,6.0,7.0,0.0,6.0,6.0,273,7200,3533.89
at84_ftv44,1.2s,9.0,9.0,0.0,9.0,9.0,14,7200,1.19
t84_gr48,5.5s,8.0,9.0,0.0,8.0,8.0,23,7200,5.89
at62_ry48p,0.1s,1.0,7.0,In,7.0,1.0,1,,
t84_kroD100,0.3s,1.0,10.0,In,10.0,1.0,1,,
t62_ulysses22,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.05
t62_att48,0.1s,6.0,8.0,0.0,6.0,6.0,101,7200,2885.71
at84_ftv64,88.2s,10.0,10.0,0.0,10.0,10.0,106,7200,88.23
at84_ftv33,0.1s,9.0,9.0,0.0,9.0,9.0,1,7200,0.1
t62_gr24,0.3s,5.0,6.0,0.0,5.0,5.0,9,7200,0.33
t62_kroB100,0.7s,1.0,8.0,In,8.0,1.0,1,,
t84_kroA100,11.6s,1.0,9.0,In,10.0,1.0,1,,
at62_ftv70,0.5s,1.0,9.0,In,9.0,1.0,1,,
t84_fri26,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.03
t62_swiss42,45.0s,6.0,6.0,0.0,6.0,6.0,1,7200,44.98
at84_ftv47,0.8s,8.0,9.0,0.0,8.0,8.0,5,7200,2.22
t84_pr76,0.2s,9.0,10.0,0.0,9.0,9.0,104,7200,3558.06
at62_kro124p,1.1s,1.0,7.0,In,7.0,1.0,1,,
t84_dantzig42,0.5s,9.0,9.0,0.0,9.0,9.0,1,7200,0.5
t84_rat99,0.4s,1.0,10.0,In,10.0,1.0,1,,
t62_hk48,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_ulysses16,0.0s,4.0,4.0,0.0,4.0,4.0,1,7200,0.01
t62_berlin52,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_rat99,0.9s,1.0,7.0,In,7.0,1.0,1,,
at62_ftv47,22.5s,6.0,8.0,0.0,6.0,6.0,13,7200,438.38
t62_gr48,97.0s,6.0,7.0,0.0,6.0,6.0,506,7200,740.99
t62_fri26,0.2s,6.0,6.0,0.0,6.0,6.0,1,7200,0.24
t62_kroC100,0.7s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv70,0.2s,9.0,11.0,0.0,9.0,9.0,280,7200,1640.31
t62_burma14,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
at84_kro124p,0.9s,1.0,10.0,In,10.0,1.0,1,,
t62_rd100,0.7s,1.0,7.0,In,7.0,1.0,1,,
t62_gr96,0.6s,1.0,7.0,In,7.0,1.0,1,,
t84_swiss42,1.0s,9.0,9.0,0.0,9.0,9.0,1,7200,0.95
t84_st70,46.5s,9.0,9.0,0.0,9.0,9.0,1,7200,46.5
t62_dantzig42,23.2s,6.0,7.0,0.0,6.0,6.0,36,7200,25.32
t62_kroA100,0.9s,1.0,8.0,In,8.0,1.0,1,,
t84_kroB100,0.2s,1.0,10.0,In,10.0,1.0,1,,
at84_ft53,99.4s,8.0,10.0,0.0,8.0,8.0,966,7200,1354.9
t84_burma14,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
at62_ft70,1.7s,1.0,6.0,In,6.0,1.0,1,,
t62_brazil58,0.3s,1.0,6.0,In,6.0,1.0,1,,
at84_br17,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_kroC100,0.3s,1.0,11.0,In,11.0,1.0,1,,
t84_gr17,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t84_ulysses16,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_gr21,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t62_bayg29,0.5s,5.0,5.0,0.0,5.0,5.0,1,7200,0.53
t84_rd100,0.4s,1.0,11.0,In,11.0,1.0,1,,
at84_p43,,2.0,,0.0,2.0,2.0,1,7200,110.51
t62_bays29,0.2s,6.0,6.0,0.0,6.0,6.0,1,7200,0.22
