instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,2.8s,9.0,9.0,0.0,9.0,9.0,17,7200,2.8
t84_bays29,0.1s,8.0,8.0,0.0,8.0,8.0,1,7200,0.07
at84_ftv55,11.3s,9.0,9.0,0.0,9.0,9.0,1,7200,11.25
t84_bayg29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.04
at62_ft53,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,0.5s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,0.1s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv35,4.5s,6.0,6.0,0.0,6.0,6.0,1,7200,4.51
t84_gr96,0.3s,1.0,10.0,In,10.0,1.0,1,,
t62_st70,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,0.7s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.1s,5.0,5.0,0.0,5.0,5.0,1,7200,0.06
t84_ulysses22,0.1s,7.0,7.0,0.0,7.0,7.0,1,7200,0.06
t84_eil76,0.3s,4.0,10.0,150.0,10.0,4.0,1,7200,7384.39
t62_kroD100,0.8s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,1.3s,9.0,10.0,0.0,9.0,9.0,25,7200,1.74
at84_ft70,1.4s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,0.2s,6.0,8.0,33.33,8.0,6.0,14,7200,7289.91
at62_ftv38,25.5s,6.0,6.0,0.0,6.0,6.0,1,7200,25.53
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t84_att48,10.1s,8.0,9.0,0.0,8.0,8.0,9,7200,21.99
t84_kroE100,0.4s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,0.0s,1.0,1.0,0.0,1.0,1.0,1,7200,0.0
at62_ftv33,1.0s,7.0,7.0,0.0,7.0,7.0,1,7200,1.0
at62_ftv64,0.4s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,0.5s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,6.2s,9.0,10.0,0.0,9.0,9.0,4,7200,6.37
t84_gr24,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.02
t84_berlin52,0.1s,1.0,9.0,In,9.0,1.0,1,,
t84_eil51,11.2s,8.0,9.0,0.0,9.0,9.0,7,7200,33.38
at62_ftv44,0.1s,6.0,8.0,0.0,6.0,6.0,61,7200,1095.74
at84_ry48p,84.1s,8.0,9.0,0.0,8.0,8.0,208,7200,289.0
t62_eil51,0.1s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv44,1.0s,9.0,9.0,0.0,9.0,9.0,1,7200,0.97
t84_gr48,99.6s,8.0,9.0,0.0,8.0,8.0,178,7200,115.49
at62_ry48p,0.1s,1.0,7.0,In,7.0,1.0,1,,
