instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,0.3s,9.0,9.0,0.0,9.0,9.0,1,7200,0.29
t84_bays29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
at84_ftv55,0.9s,8.0,9.0,0.0,9.0,9.0,5,7200,2.99
t84_bayg29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
at62_ft53,0.0s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,0.1s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,0.0s,7.0,9.0,14.29,8.0,7.0,2,7200,7329.88
at62_ftv35,1.6s,6.0,6.0,0.0,6.0,6.0,1,7200,1.59
t84_gr96,0.0s,9.0,10.0,11.11,10.0,9.0,91,7200,7204.26
t62_st70,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t84_ulysses22,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.02
t84_eil76,0.1s,8.0,10.0,12.5,9.0,8.0,621,7200,7201.46
t62_kroD100,0.1s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,0.0s,9.0,9.0,0.0,9.0,9.0,1,7200,0.05
at84_ft70,0.1s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,94.0s,6.0,7.0,0.0,6.0,6.0,748,7200,3840.53
at62_ftv38,2.6s,6.0,6.0,0.0,6.0,6.0,1,7200,2.55
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t84_att48,2.7s,8.0,8.0,0.0,8.0,8.0,11,7200,2.68
t84_kroE100,0.1s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,0.0s,1.0,1.0,0.0,1.0,1.0,1,7200,0.0
at62_ftv33,0.2s,7.0,7.0,0.0,7.0,7.0,1,7200,0.24
at62_ftv64,0.0s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,0.1s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,0.4s,9.0,9.0,0.0,9.0,9.0,1,7200,0.41
t84_gr24,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.01
t84_berlin52,0.0s,9.0,9.0,0.0,9.0,9.0,1,7200,4237.22
t84_eil51,0.7s,8.0,9.0,0.0,9.0,9.0,5,7200,1.79
at62_ftv44,71.8s,6.0,6.0,0.0,6.0,6.0,1,7200,71.84
at84_ry48p,98.0s,8.0,9.0,0.0,8.0,8.0,4748,7200,1586.84
t62_eil51,0.0s,6.0,7.0,0.0,6.0,6.0,1,7200,235.22
at84_ftv44,0.1s,9.0,9.0,0.0,9.0,9.0,1,7200,0.13
t84_gr48,44.3s,8.0,8.0,0.0,8.0,8.0,191,7200,44.33
at62_ry48p,0.0s,6.0,7.0,0.0,6.0,6.0,596,7200,6180.53
t84_kroD100,0.1s,5.0,10.0,100.0,10.0,5.0,1,7200,7516.35
t62_ulysses22,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t62_att48,0.0s,6.0,8.0,0.0,6.0,6.0,59,7200,373.39
at84_ftv64,22.3s,9.0,10.0,0.0,9.0,9.0,40,7200,31.45
at84_ftv33,0.0s,9.0,9.0,0.0,9.0,9.0,1,7200,0.01
t62_gr24,0.1s,5.0,5.0,0.0,5.0,5.0,1,7200,0.14
t62_kroB100,0.1s,1.0,8.0,In,8.0,1.0,1,,
t84_kroA100,0.1s,9.0,10.0,11.11,10.0,9.0,399,7200,7207.63
