instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,1.3s,9.0,10.0,0.0,9.0,9.0,24,7200,1.57
t84_bays29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.03
at84_ftv55,2.8s,8.0,9.0,0.0,9.0,9.0,3,7200,8.43
t84_bayg29,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.02
at62_ft53,0.2s,1.0,7.0,In,7.0,1.0,1,,
t62_eil76,0.2s,1.0,7.0,In,7.0,1.0,1,,
t84_brazil58,0.1s,7.0,9.0,28.57,9.0,7.0,1,7200,7394.83
at62_ftv35,1.5s,6.0,6.0,0.0,6.0,6.0,1,7200,1.52
t84_gr96,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_st70,0.2s,1.0,7.0,In,7.0,1.0,1,,
t62_kroE100,0.3s,1.0,7.0,In,7.0,1.0,1,,
t62_gr21,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.02
t84_ulysses22,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.03
t84_eil76,0.2s,8.0,10.0,12.5,9.0,8.0,171,7200,7217.01
t62_kroD100,0.3s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv35,0.7s,9.0,9.0,0.0,9.0,9.0,16,7200,0.75
at84_ft70,0.6s,1.0,9.0,In,9.0,1.0,1,,
at62_ftv55,0.1s,6.0,7.0,0.0,6.0,6.0,160,7200,837.16
at62_ftv38,12.1s,6.0,7.0,0.0,6.0,6.0,38,7200,14.84
at62_br17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t62_gr17,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
t84_att48,1.6s,8.0,8.0,0.0,7.99999999999999,8.0,1,7200,1.62
t84_kroE100,0.2s,1.0,11.0,In,11.0,1.0,1,,
at62_p43,0.0s,1.0,1.0,0.0,1.0,1.0,1,7200,0.0
at62_ftv33,1.8s,7.0,7.0,0.0,7.0,7.0,16,7200,1.79
at62_ftv64,0.1s,1.0,8.0,In,8.0,1.0,1,,
t62_pr76,0.2s,1.0,7.0,In,7.0,1.0,1,,
t84_hk48,4.0s,9.0,9.0,0.0,9.0,9.0,21,7200,3.96
t84_gr24,0.0s,7.0,7.0,0.0,7.0,7.0,1,7200,0.01
t84_berlin52,0.0s,1.0,9.0,In,9.0,1.0,1,,
t84_eil51,1.2s,8.0,9.0,0.0,9.0,9.0,7,7200,5.5
at62_ftv44,30.1s,6.0,6.0,0.0,6.0,6.0,1,7200,30.14
at84_ry48p,99.6s,8.0,9.0,0.0,8.0,8.0,984,7200,1083.88
t62_eil51,0.1s,6.0,7.0,0.0,6.0,6.0,69,7200,802.92
at84_ftv44,1.6s,9.0,10.0,0.0,9.0,9.0,27,7200,2.11
t84_gr48,3.1s,8.0,8.0,0.0,8.0,8.0,18,7200,3.11
at62_ry48p,0.1s,6.0,7.0,0.0,6.0,6.0,201,7200,7098.45
t84_kroD100,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_ulysses22,0.1s,5.0,5.0,0.0,5.0,5.0,1,7200,0.05
t62_att48,0.0s,6.0,8.0,0.0,6.0,6.0,74,7200,965.42
at84_ftv64,88.7s,9.0,11.0,0.0,9.0,9.0,183,7200,354.06
at84_ftv33,0.0s,9.0,9.0,0.0,9.0,9.0,1,7200,0.05
t62_gr24,0.3s,5.0,5.0,0.0,5.0,5.0,1,7200,0.27
t62_kroB100,0.3s,1.0,8.0,In,8.0,1.0,1,,
t84_kroA100,0.2s,1.0,10.0,In,10.0,1.0,1,,
at62_ftv70,0.2s,1.0,8.0,In,8.0,1.0,1,,
t84_fri26,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.03
t62_swiss42,91.8s,6.0,7.0,0.0,6.0,6.0,252,7200,92.16
at84_ftv47,2.7s,8.0,8.0,0.0,8.0,8.0,14,7200,2.68
t84_pr76,0.1s,9.0,10.0,11.11,10.0,9.0,789,7200,7209.38
at62_kro124p,0.5s,1.0,7.0,In,7.0,1.0,1,,
t84_dantzig42,0.4s,9.0,9.0,0.0,9.0,9.0,1,7200,0.38
t84_rat99,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_hk48,0.1s,6.0,7.0,0.0,6.0,6.0,1,7200,4242.41
t62_ulysses16,0.0s,4.0,4.0,0.0,4.0,4.0,1,7200,0.02
t62_berlin52,0.1s,1.0,7.0,In,7.0,1.0,1,,
t62_rat99,0.3s,1.0,7.0,In,7.0,1.0,1,,
at62_ftv47,0.1s,6.0,7.0,0.0,6.0,6.0,110,7200,1016.82
t62_gr48,41.8s,6.0,7.0,0.0,6.0,6.0,38,7200,50.1
t62_fri26,0.3s,6.0,6.0,0.0,6.0,6.0,1,7200,0.28
t62_kroC100,0.2s,1.0,7.0,In,7.0,1.0,1,,
at84_ftv70,0.1s,9.0,10.0,11.11,10.0,9.0,1001,7200,7203.54
t62_burma14,0.0s,5.0,5.0,0.0,5.0,5.0,1,7200,0.01
at84_kro124p,0.2s,1.0,10.0,In,10.0,1.0,1,,
t62_rd100,0.4s,1.0,8.0,In,8.0,1.0,1,,
t62_gr96,0.3s,1.0,7.0,In,7.0,1.0,1,,
t84_swiss42,0.3s,9.0,9.0,0.0,9.0,9.0,1,7200,0.35
t84_st70,92.2s,9.0,10.0,0.0,9.0,9.0,422,7200,804.1
t62_dantzig42,4.6s,6.0,6.0,0.0,6.0,6.0,1,7200,4.61
t62_kroA100,0.4s,1.0,8.0,In,8.0,1.0,1,,
t84_kroB100,0.2s,1.0,10.0,In,10.0,1.0,1,,
at84_ft53,99.2s,8.0,10.0,0.0,8.0,8.0,645,7200,1141.9
t84_burma14,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
at62_ft70,0.5s,1.0,6.0,In,6.0,1.0,1,,
t62_brazil58,0.1s,1.0,6.0,In,6.0,1.0,1,,
at84_br17,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_kroC100,0.2s,9.0,11.0,22.22,11.0,9.0,24,7200,7299.8
t84_gr17,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t84_ulysses16,0.0s,6.0,6.0,0.0,6.0,6.0,1,7200,0.01
t84_gr21,0.0s,8.0,8.0,0.0,8.0,8.0,1,7200,0.01
t62_bayg29,0.3s,5.0,5.0,0.0,5.0,5.0,1,7200,0.28
t84_rd100,0.2s,1.0,11.0,In,11.0,1.0,1,,
at84_p43,0.1s,2.0,2.0,0.0,2.0,2.0,1,7200,0.07
t62_bays29,0.1s,6.0,6.0,0.0,6.0,6.0,1,7200,0.12
